"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4497","test_no_radios_or_dropdowns_on_login","src.seleniumProject.tests","Wed Oct 22 00:23:35 IST 2025","passed","Wed Oct 22 00:23:40 IST 2025","","test_form_elements_and_login","",""
"","261","test_browser_launch_and_title","src.seleniumProject.tests","Wed Oct 22 00:22:53 IST 2025","passed","Wed Oct 22 00:22:54 IST 2025","","test_browser_navigation_and_title","",""
"","5596","test_login_hybrid[TC004]","src.seleniumProject.tests","Wed Oct 22 00:25:18 IST 2025","passed","Wed Oct 22 00:25:24 IST 2025","","test_login_module_hybrid","",""
"","581","test_login_hybrid[TC002]","src.seleniumProject.tests","Wed Oct 22 00:24:52 IST 2025","passed","Wed Oct 22 00:24:52 IST 2025","","test_login_module_hybrid","",""
"","263","test_can_open_sauce_demo_and_see_login","src.seleniumProject.tests","Wed Oct 22 00:22:43 IST 2025","passed","Wed Oct 22 00:22:43 IST 2025","","test_browser_navigation_and_title","",""
"","2121","test_explicit_wait_for_cart_notification","src.seleniumProject.tests","Wed Oct 22 00:23:27 IST 2025","broken","Wed Oct 22 00:23:29 IST 2025","","test_explicit_waits_and_login","",""
"Test basic login functionality using page objects","866","test_locators_and_methods_on_login","src.seleniumProject.tests","Wed Oct 22 00:26:08 IST 2025","passed","Wed Oct 22 00:26:09 IST 2025","","test_page_object_locators_and_e2e","",""
"","579","test_login_valid_user","src.seleniumProject.tests","Wed Oct 22 00:23:16 IST 2025","passed","Wed Oct 22 00:23:16 IST 2025","","test_explicit_waits_and_login","",""
"","574","test_login_hybrid[TC003]","src.seleniumProject.tests","Wed Oct 22 00:25:07 IST 2025","passed","Wed Oct 22 00:25:08 IST 2025","","test_login_module_hybrid","",""
"","532","test_login_hybrid[TC007]","src.seleniumProject.tests","Wed Oct 22 00:25:57 IST 2025","passed","Wed Oct 22 00:25:57 IST 2025","","test_login_module_hybrid","",""
"","574","test_login_hybrid[TC001]","src.seleniumProject.tests","Wed Oct 22 00:24:41 IST 2025","passed","Wed Oct 22 00:24:41 IST 2025","","test_login_module_hybrid","",""
"","624","test_driver_methods_and_navigation","src.seleniumProject.tests","Wed Oct 22 00:23:04 IST 2025","passed","Wed Oct 22 00:23:05 IST 2025","","test_browser_navigation_and_title","",""
"JS executor examples + scroll + drop-down on SauceDemo.","9357","test_js_executor_scroll_dropdown","src.seleniumProject.tests","Wed Oct 22 00:24:03 IST 2025","passed","Wed Oct 22 00:24:12 IST 2025","","test_js-executor_scrolling_&_dropdown","",""
"
login → interact with product page → checkout → logout
","14806","test_saucedemo_twelve_locators","src.seleniumProject.tests","Wed Oct 22 00:26:19 IST 2025","passed","Wed Oct 22 00:26:34 IST 2025","","test_page_object_locators_and_e2e","",""
"","567","test_login_hybrid[TC005]","src.seleniumProject.tests","Wed Oct 22 00:25:34 IST 2025","passed","Wed Oct 22 00:25:35 IST 2025","","test_login_module_hybrid","",""
"","264","test_js_executor_scroll_and_screenshot","src.seleniumProject.tests","Wed Oct 22 00:24:34 IST 2025","failed","Wed Oct 22 00:24:34 IST 2025","","test_js_executor_and_screenshots","",""
"
Sidebar → right-click About → open in new tab → click 'Try it for free'
→ close tab → back to parent → logout via still-open sidebar.
","11566","test_sidebar_about_new_tab_then_logout","src.seleniumProject.tests","Wed Oct 22 00:27:00 IST 2025","broken","Wed Oct 22 00:27:11 IST 2025","","test_window_handling","",""
"","559","test_login_hybrid[TC006]","src.seleniumProject.tests","Wed Oct 22 00:25:45 IST 2025","passed","Wed Oct 22 00:25:46 IST 2025","","test_login_module_hybrid","",""
"Hover first item name link → colour is different after hover.","2782","test_hover_item_name_colour_changes","src.seleniumProject.tests","Wed Oct 22 00:26:45 IST 2025","passed","Wed Oct 22 00:26:48 IST 2025","","test_sauce_mouse_actions","",""
"","2135","test_register_form_radio_checkbox_dropdown","src.seleniumProject.tests","Wed Oct 22 00:23:50 IST 2025","broken","Wed Oct 22 00:23:52 IST 2025","","test_form_elements_and_login","",""
"","634","test_take_inventory_screenshot","src.seleniumProject.tests","Wed Oct 22 00:24:23 IST 2025","passed","Wed Oct 22 00:24:24 IST 2025","","test_js_executor_and_screenshots","",""
